timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,wz,u_steering_angle,u_longitudinal_actuation,ref_traj_0_x,ref_traj_0_y,front_steering_angle,acceleration,x_ref_0,y_ref_0,yaw_ref_0
2753672046209,15.698474884033203,0.14028722047805786,0.030858315527439117,-0.004036550875753164,-0.0014027527067810297,0.012621963396668434,0.9999112486839294,13.409453974768635,0.03289041359459529,0.02694532194067358,0.010260852486434912,-3.9529839421932134,0.0,0.0,0.007847033386620744,-2.4961473471061106,0.0,0.0,-1.8626449271863521e-09
2753672146209,17.025081634521484,0.17445655167102814,0.034440480172634125,-0.004038149956613779,-0.0013981421943753958,0.01376380119472742,0.9998961687088013,13.120232574746744,0.016518843311414667,0.01513893238529354,-0.0019714706185477906,-3.5708355620183974,0.0,0.0,0.0016470505171091937,-3.174768908905612,-1.350316047668457,0.001596987247467041,-0.0022859841119498014
2753672246209,18.320653915405273,0.21035802364349365,0.03791850060224533,-0.004038368817418814,-0.0013975094771012664,0.01392046082764864,0.9998940229415894,12.800671134194243,-0.012412186470228436,-0.009393489752978094,-0.009851418572190964,-3.23133112987216,0.0,0.0,-0.0056137614499421305,-3.2104856332527754,-2.6773576736450195,0.007054358720779419,-0.00456987926736474
2753672346209,19.584550857543945,0.24521787464618683,0.0413128025829792,-0.004036847967654467,-0.0014018971705809236,0.012833850458264351,0.9999085664749146,12.489928755492036,-0.04072230034854541,-0.033257910894516046,-0.01531587922931044,-2.93083737031325,0.0,0.0,-0.011740251187930931,-3.0338992165439755,-3.9734315872192383,0.00808665156364441,-0.00488322926685214
2753672446209,20.81846809387207,0.2760460674762726,0.04465234652161598,-0.004033841658383608,-0.0014105243608355522,0.01069613080471754,0.9999337196350098,12.200087226130691,-0.06241950460328444,-0.051059971094952965,-0.01845958851451425,-2.6662768122360614,0.0,0.0,-0.015983237318746388,-2.8017607351665776,-5.23781681060791,-0.002945035696029663,-0.0027097940910607576
2753672546209,22.392248153686523,0.3193344473838806,0.051913123577833176,-0.003472492564469576,-0.001367407850921154,0.014528774656355381,0.9998875260353088,12.491644815429378,0.00867959626669616,0.0026748146542797295,0.023409522283715366,-6.39264105509012,0.0,0.0,0.008891675864512756,-5.069254485566079,0.0,0.0,5.421012154897229e-20
2753672646209,23.614595413208008,0.3553254306316376,0.055130571126937866,-0.003473765216767788,-0.0013641720870509744,0.015460308641195297,0.9998735785484314,11.958468516008152,0.03193064924868175,0.025612566406244184,0.007037355412273543,-5.781545708114264,0.0,0.0,0.007720748497938781,-5.519037199468062,-1.2716827392578125,-0.004082828760147095,0.0027250507846474648
2753672746209,24.782623291015625,0.3920649588108063,0.05818882957100868,-0.0034752616193145514,-0.001360355643555522,0.01655856892466545,0.9998559951782227,11.416607440407631,0.0195790079981693,0.015907182986679414,-3.594527530402884e-05,-5.24653984477563,0.0,0.0,0.002822714286939155,-5.346966288238517,-2.494565963745117,0.00011563301086425781,0.0008617602288722992
2753672846209,25.897666931152344,0.4293152689933777,0.061093322932720184,-0.0034757882822304964,-0.0013590093003585935,0.016945887356996536,0.9998494982719421,10.902739347739336,-0.0007198266247879861,-0.00031800912859914496,-0.004919705789128722,-4.781804284208908,0.0,0.0,-0.002066306669299603,-4.990089645764484,-3.663166046142578,0.007563740015029907,-0.001335058594122529
2753672946209,26.963176727294922,0.46537360548973083,0.06386559456586838,-0.0034752115607261658,-0.001360483467578888,0.016521796584129333,0.9998566508293152,10.426159023337314,-0.0213855224689222,-0.01620826835916443,-0.009684005157004148,-4.381510380569458,0.0,0.0,-0.006876571054180457,-4.605796782313712,-4.778827667236328,0.010968685150146484,-0.0021098076831549406
2753673046209,28.762348175048828,0.5149217844009399,0.0754760280251503,-0.007461042609065771,-0.0003220811195205897,0.015061250887811184,0.9998586773872375,11.634622028243852,-0.027162689056372414,-0.02004790079133716,-0.0016813509699698482,-7.245298966863194,0.0,0.0,-0.0035960024962318734,-6.272534232299017,0.0,0.0,3.7252898543727042e-09
2753673146209,29.89339256286621,0.5485402345657349,0.07595749199390411,-0.007460796739906073,-0.00032772350823506713,0.014305093325674534,0.9998697638511658,10.991792742101728,-0.014801400421271,-0.011666452883811103,-0.0023750425393203735,-6.695170073445888,0.0,0.0,-0.0028250163242828684,-6.539411444323664,-1.1927471160888672,-0.0002993345260620117,0.002375299809500575
2753673246209,30.959888458251953,0.5788121223449707,0.07643277198076248,-0.0074606058187782764,-0.0003320374235045165,0.013726946897804737,0.9998778700828552,10.350305637824338,-0.01639654720065127,-0.012499127199831195,-0.0050851027521919695,-6.201483217410124,0.0,0.0,-0.0042521682742414045,-6.326023618959896,-2.324291229248047,-0.003347545862197876,0.0038878212217241526
2753673346209,31.963659286499023,0.6060768365859985,0.07689839601516724,-0.007460368797183037,-0.0003373246581759304,0.013018329627811909,0.9998873472213745,9.738478542685671,-0.021234169995078808,-0.015807878115697276,-0.006326110915694551,-5.7623070280709845,0.0,0.0,-0.0055617780521251105,-5.9700596956441965,-3.3912124633789062,-0.007014870643615723,0.005044260527938604
2753673446209,32.90813064575195,0.6302949786186218,0.07735791802406311,-0.007460078224539757,-0.00034369094646535814,0.01216505654156208,0.9998980760574341,9.16343769294169,-0.02477931844219404,-0.018072906361982683,-0.006912860885293852,-5.374057602949992,0.0,0.0,-0.006414931487366138,-5.5937088011543725,-4.3953399658203125,-0.012940138578414917,0.006461658980697393
2753673546209,34.78116226196289,0.6704568266868591,0.0870814174413681,-0.008631140924990177,0.00045115259126760066,0.010077857412397861,0.9999119639396667,10.812577505017204,-0.016261103955154323,-0.010014747827509569,0.006885590094175596,-8.999328030861918,0.0,0.0,0.0019838027717142943,-7.7442177659774165,0.0,0.0,3.76158192263132e-37
2753673646209,35.822959899902344,0.6912589073181152,0.08596330136060715,-0.008631059899926186,0.00045269395923241973,0.01025642454624176,0.9999101758003235,10.023244340023911,0.018718269981399922,0.014069765892079457,0.009411488431125888,-8.148823739510702,0.0,0.0,0.006674081843172289,-7.999709855555207,-1.1173095703125,0.0015217065811157227,0.0023290375247597694
2753673746209,36.785301208496094,0.7113674879074097,0.08491504192352295,-0.008630677126348019,0.00045993184903636575,0.011094952002167702,0.9999012351036072,9.229560679667845,0.02299469880308578,0.016831472598304982,0.004719299853747432,-7.829109421459902,0.0,0.0,0.005439717133264958,-7.891982673454418,-2.159313201904297,0.002483367919921875,0.0019718750845640898
