timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,wz,u_steering_angle,u_longitudinal_actuation,ref_traj_0_x,ref_traj_0_y,front_steering_angle,acceleration,x_ref_0,y_ref_0,yaw_ref_0
2753672046209,15.698488235473633,0.14029082655906677,0.030858324840664864,-0.0040366449393332005,-0.0014024833217263222,0.012688698247075081,0.9999104142189026,13.409840873796576,0.036798306599177835,0.030167966144988772,0.012423119245858389,-3.9424858146072728,0.0,0.0,0.00921241622505344,-2.4895182097996007,0.0,0.0,-1.8626449271863521e-09
2753672146209,17.02515983581543,0.17473074793815613,0.03443849831819534,-0.004038557410240173,-0.0013969669817015529,0.01405480969697237,0.9998921751976013,13.121248304194667,0.022673906585869014,0.020406303675716102,-0.00037749976501091193,-3.565131242088265,0.0,0.0,0.003156777318438431,-3.168723755868798,-1.3503293991088867,0.0017739832401275635,-0.002419463125988841
2753672246209,18.32083511352539,0.21150904893875122,0.037909768521785736,-0.0040391492657363415,-0.0013952550943940878,0.014478628523647785,0.999886155128479,12.802149587637935,-0.006330351189520883,-0.004181433823587433,-0.008617726772321642,-3.229133345615245,0.0,0.0,-0.004278339438786239,-3.2068699359166986,-2.677440643310547,0.008340954780578613,-0.0051519558764994144
2753672346209,19.584850311279297,0.24789589643478394,0.041292138397693634,-0.00403796648606658,-0.001398674794472754,0.013631951063871384,0.9998980760574341,12.491626941873497,-0.03561923074456692,-0.028930623555032724,-0.014423408121630591,-2.9310702760275436,0.0,0.0,-0.010684534518051108,-3.0327137542998512,-3.9736328125,0.011377453804016113,-0.005999683868139982
2753672446209,20.81888771057129,0.2807893753051758,0.044615428894758224,-0.004035224672406912,-0.0014065654249861836,0.011677347123622894,0.9999228119850159,12.201800222743383,-0.05890282977632134,-0.04810305876056555,-0.01806007510978093,-2.6679061249409988,0.0,0.0,-0.015341886116424983,-2.8023526879397034,-5.238190650939941,0.002747446298599243,-0.004306146875023842
2753672546209,22.39223289489746,0.3192733824253082,0.05191349983215332,-0.0034724681172519922,-0.0013674692017957568,0.014511092565953732,0.9998877644538879,12.491163773867013,0.003125623706794085,-0.0015421114659826297,0.01961011815932223,-6.404679395169085,0.0,0.0,0.006728872081631835,-5.077074362794563,0.0,0.0,-3.725290742551124e-09
2753672646209,23.61449432373047,0.3550814092159271,0.05513196438550949,-0.0034733081702142954,-0.0013653341447934508,0.015125816687941551,0.9998786449432373,11.957068370007352,0.022804632405435704,0.018204051320116786,0.0048121276502030436,-5.7930861136212,0.0,0.0,0.005518526530636037,-5.5292064378191546,-1.2716617584228516,-0.004067212343215942,0.002760416828095913
2753672746209,24.78236198425293,0.3908618986606598,0.05819638818502426,-0.0034743102733045816,-0.001362781971693039,0.015860434621572495,0.99986732006073,11.414215037780437,0.011026889782109504,0.009054358712176,-0.0016749192389517644,-5.256039762488726,0.0,0.0,0.0009761603493188711,-5.356712878038709,-2.494455337524414,-0.0013124942779541016,0.001530826441012323
2753672846209,25.897178649902344,0.4263935983181,0.06111210212111473,-0.0034744145814329386,-0.0013625159626826644,0.015936998650431633,0.9998661279678345,10.899511639184764,-0.007847477354841955,-0.00589836663058407,-0.006243901089389955,-4.787769664906936,0.0,0.0,-0.0035830125362094527,-4.997448556988885,-3.6628761291503906,0.0036423802375793457,6.140396726550534e-05
2753672946209,26.962411880493164,0.4601652920246124,0.06389937549829483,-0.0034734986256808043,-0.0013648488093167543,0.01526554487645626,0.9998766183853149,10.422422998828479,-0.027066788667393062,-0.02055787462935812,-0.010708755345935789,-4.382694261673984,0.0,0.0,-0.008082627073168645,-4.609256415099994,-4.778263092041016,0.004229366779327393,-9.174647129839286e-05
