timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,wz,u_steering_angle,u_longitudinal_actuation,ref_traj_0_x,ref_traj_0_y,front_steering_angle,acceleration,x_ref_0,y_ref_0,yaw_ref_0
269969271585,5.063024044036865,-0.005698996130377054,-0.0005332193686626852,-0.003717112587764859,-0.00040978597826324403,-7.684232696192339e-05,0.9999930262565613,5.058538364432079,-0.007548684278664992,-0.005108155489947599,-0.00717477881368807,3.2173399304125248,0.0,0.0,-0.004381583627996526,2.031618303913982,0.0,0.0,0.0
269969371585,5.580246925354004,-0.005896874237805605,-0.00010813350672833622,-0.0037169549614191055,-0.00041121357935480773,-0.00046091165859252214,0.9999929666519165,5.295655296141434,-0.013920376693538182,-0.00919358724481584,-0.006022326422944143,2.95295684468149,0.0,0.0,-0.005417645457435595,2.6134058315019253,-0.4982261657714844,-6.686616688966751e-05,0.00010917520557995886
269969471585,6.122950553894043,-0.006582912988960743,0.0003414508537389338,-0.0037167586851865053,-0.00041298320866189897,-0.0009370223851874471,0.9999926090240479,5.559008323707454,-0.014528294263207439,-0.009604014530092799,-0.004941619970164335,2.6680115469757655,0.0,0.0,-0.005117054872049156,2.6478871028174957,-1.015449047088623,-0.000726909376680851,0.0008773193694651127
269969571585,6.6917219161987305,-0.007842481136322021,0.0008166487095877528,-0.0037165703251957893,-0.00041467646951787174,-0.0013925994280725718,0.9999921321868896,5.813492402160217,-0.012871288031445362,-0.008531871459445709,-0.003676279133170213,2.36828097343026,0.0,0.0,-0.004207264042900947,2.4713272917201294,-1.558152675628662,-0.0020231991074979305,0.0018295476911589503
269969671585,7.28488302230835,-0.009668640792369843,0.0013160345843061805,-0.003716405015438795,-0.000416156486608088,-0.001790823182091117,0.9999915361404419,6.0454314936576905,-0.011212162345192457,-0.007467922334576725,-0.003186920151321036,2.0590627594211957,0.0,0.0,-0.0035629586939927953,2.2109991361665884,-2.126923084259033,-0.0037657450884580612,0.0027407093439251184
269969771585,7.588505744934082,-0.007606188300997019,-0.01158970221877098,-0.010676662437617779,-0.003945793025195599,-0.00016638402303215116,0.9999352097511292,5.500361640336684,-0.010375643228644947,-0.006891517006724234,-0.004003621237979651,-1.803506563809269,0.0,0.0,-0.0038412190300394773,-0.32399667952025907,0.0,0.0,-4.365575262399446e-11
269969871585,8.135211944580078,-0.007880215533077717,-0.007270574104040861,-0.010675214231014252,-0.003949709236621857,-0.0005332073196768761,0.9999350905418396,5.420506360272244,-0.011641088843422607,-0.007691092670203859,-0.004508768349410205,-1.6116584068542539,0.0,0.0,-0.004262749065824349,-1.137102285730111,-0.548499584197998,-0.00040369946509599686,0.0006225084653124213
269969971585,8.671148300170898,-0.008555073291063309,-0.003027857281267643,-0.010673747397959232,-0.003953671548515558,-0.0009044099715538323,0.9999348521232605,5.295250770465042,-0.010673215009150134,-0.007015608714220212,-0.003511980080388021,-1.4503743968198424,0.0,0.0,-0.003788669221663212,-1.334920784477947,-1.0952215194702148,-0.0010690554045140743,0.001356202526949346
269970071585,9.194005012512207,-0.009586738422513008,0.001119289081543684,-0.010672497563064098,-0.003957042936235666,-0.0012203117366880178,0.9999344944953918,5.162420661700153,-0.008592966713653769,-0.005626212511655751,-0.0025953353709703975,-1.3169588830844392,0.0,0.0,-0.0030351278035399424,-1.3235785799134858,-1.631174087524414,-0.0021315505728125572,0.0020986562594771385
269970171585,9.70376205444336,-0.010889878496527672,0.005168885458260775,-0.010671493597328663,-0.0039597502909600735,-0.0014739524340257049,0.999934196472168,5.034292693580512,-0.007054909198965682,-0.004612695137154357,-0.0023220880508072646,-1.2088046457846326,0.0,0.0,-0.0025848724235048377,-1.2511035445017014,-2.154046058654785,-0.0033624712377786636,0.002730501350015402
269970271585,10.344160079956055,-0.0060010189190506935,-0.01556397695094347,-0.012460608966648579,-0.0016241671983152628,0.0003424733877182007,0.9999210834503174,5.762237869715338,0.020892351558023246,0.0141351415552567,0.017027150434489487,-4.607610732440193,0.0,0.0,0.009799316215826128,-3.370600267796446,0.0,0.0,1.4551915228366852e-11
269970371585,10.902512550354004,-0.005290147382766008,-0.013762785121798515,-0.012461927719414234,-0.0016140220686793327,0.0011565494351089,0.9999204874038696,5.396715295844924,0.023976984669560247,0.015793373065952982,0.007363967133962771,-4.142903709261027,0.0,0.0,0.00826149308300618,-3.858278238353329,-0.5904369354248047,7.279496639966965e-05,-0.000469034886918962
269970471585,11.423060417175293,-0.003782294224947691,-0.012104611843824387,-0.012462999671697617,-0.0016057273605838418,0.001822077319957316,0.9999195337295532,5.015723388918528,0.016584916648623087,0.010806416559139609,0.004212522914686083,-3.7270603519323244,0.0,0.0,0.005704734368080443,-3.775419521021699,-1.1487922668457031,0.001637401059269905,-0.0020973163191229105
269970571585,11.906298637390137,-0.001760212704539299,-0.010580798611044884,-0.012463774532079697,-0.0015996953006833792,0.0023060182575136423,0.999918520450592,4.65357878385304,0.01280881024428174,0.008193923245443721,0.0014909266736054946,-3.3576275339612476,0.0,0.0,0.0030438875112264907,-3.511601004328073,-1.6693410873413086,0.003576558083295822,-0.003428479190915823
269970671585,12.354722023010254,0.00046750716865062714,-0.009175525978207588,-0.012464194558560848,-0.001596426242031157,0.002568280091509223,0.9999179244041443,4.3201016636701155,0.0026389658681702692,0.0017106105841594372,-0.007458102211219158,-3.0317905903555453,0.0,0.0,-0.003587688576197199,-3.208620392854375,-2.1525821685791016,0.0054182372987270355,-0.0043964390642941
269970771585,13.393595695495605,-0.0014940990367904305,-0.020014967769384384,-0.013988853432238102,-0.010818985290825367,-1.7165846657007933e-05,0.9998435974121094,6.241410761883987,-0.013922643601628641,-0.009396239914983869,-0.005761212320719242,-0.77939516505194,0.0,0.0,-0.0049601797393539785,-1.674664222888759,0.0,0.0,8.731150524798892e-11
269970871585,14.01048755645752,-0.0015280914958566427,-0.006659765727818012,-0.013984043151140213,-0.0108252028003335,-0.0004616192018147558,0.9998435378074646,6.109503237857412,-0.01157343771602654,-0.00770240835540978,-0.002485085140829269,-0.7098082170266028,0.0,0.0,-0.0033972589417257696,-1.0653971996496092,-0.6344242095947266,-0.00026519037783145905,0.0006057308055460453
